old_url,discovered_from,local_route_candidate,mapping_type,status,notes
https://www.bostarcoating.com/cases,sitemap,/cases,KEEP,OK,homepage-canonical-risk
https://www.bostarcoating.com/contact,sitemap,/contact,KEEP,OK,homepage-canonical-risk
https://www.bostarcoating.com/downloads,sitemap,/downloads,KEEP,OK,homepage-canonical-risk
https://www.bostarcoating.com/downloads/controller-manual,sitemap,/downloads/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/downloads/disk-system-sheet,sitemap,/downloads/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/downloads/maintenance-guide,sitemap,/downloads/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/downloads/powder-gun-catalog,sitemap,/downloads/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/downloads/troubleshooting-checklist,sitemap,/downloads/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/faq,sitemap,/faq,KEEP,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge,sitemap,/knowledge,KEEP,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/faq,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/industry-encyclopedia,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/operation-maintenance,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/process-knowledge,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/process-knowledge/adjust-spray-voltage,sitemap,/knowledge/[categorySlug]/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/product-comparison,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/safety-standard,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/selection-guide,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/selection-guide/how-to-choose-electrostatic-spray-gun,sitemap,/knowledge/[categorySlug]/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/selection-guide/manual-powder-gun-selection-guide,sitemap,/knowledge/[categorySlug]/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/troubleshooting,sitemap,/knowledge/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/knowledge/troubleshooting/powder-gun-not-picking-powder,sitemap,/knowledge/[categorySlug]/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
